epoch,acc,loss,val_acc,val_loss
0,0.378060013,1.724225879,0.487899989,1.410238624
1,0.59258002,1.161821365,0.645900011,1.041585326
2,0.685100019,0.911923349,0.700299978,0.872324526
3,0.730679989,0.790346563,0.750999987,0.804799259
4,0.754019976,0.736102521,0.754100025,0.767067313
5,0.760999978,0.712076306,0.727299988,0.802530289
6,0.771139979,0.687099457,0.748399973,0.772092104
7,0.778599977,0.670369744,0.717999995,0.890609682
8,0.784300029,0.653295755,0.74000001,0.815479159
9,0.791899979,0.639081657,0.765500009,0.694110036
10,0.794139981,0.636875749,0.793900013,0.626640022
11,0.801240027,0.615961552,0.802900016,0.589390218
12,0.799459994,0.617251456,0.82069999,0.621005654
13,0.800559998,0.620686352,0.815199971,0.79009676
14,0.803139985,0.616542876,0.782599986,0.670980096
15,0.800880015,0.627208769,0.794099987,0.700689316
16,0.800040007,0.628894389,0.767799973,0.695598423
17,0.799359977,0.638094723,0.782899976,0.706551433
18,0.801580012,0.629662454,0.744400024,0.7819435
19,0.801580012,0.628286898,0.742699981,0.746370733
20,0.882560015,0.356881648,0.853200018,0.475187063
21,0.890299976,0.332953364,0.853100002,0.460693359
22,0.888779998,0.338603944,0.852999985,0.488407135
23,0.888260007,0.346800029,0.849099994,0.500044465
24,0.887920022,0.36247167,0.845099986,0.508660257
25,0.886680007,0.35317421,0.845099986,0.548943877
26,0.886039972,0.362670898,0.847599983,0.517421067
27,0.885640025,0.348091483,0.846400023,1.180418849
28,0.885439992,0.353031367,0.846700013,0.576833546
29,0.887199998,0.394079506,0.824100018,0.612055361
30,0.91742003,17.16364861,0.868900001,0.480992585
31,0.664099991,145507.4844,0.824899971,0.5487988
32,0.871179998,0.376867235,0.844299972,0.496076703
33,0.887300014,0.335980326,0.848999977,0.462329745
34,0.892740011,0.318351746,0.856000006,0.495745063
35,0.895780027,0.307894886,0.851199985,0.472673088
36,0.898220003,0.29848358,0.858900011,0.46113959
37,0.902459979,0.726510525,0.854700029,0.454538137
38,0.901459992,0.29068923,0.856400013,0.491698682
39,0.903919995,0.28201285,0.854799986,0.475655675
40,0.90486002,0.280230194,0.861000001,0.531025708
41,0.905719995,0.288603216,0.852999985,0.463282526
42,0.906579971,0.274451494,0.862200022,0.483848035
43,0.917439997,0.243438944,0.871599972,0.43135187
44,0.917020023,0.239360467,0.868099988,0.451955169
45,0.918959975,2.420940399,0.870700002,0.437611818
46,0.918940008,0.239268884,0.869400024,0.457633168
47,0.91952002,2.577337503,0.86619997,0.440954596
48,0.919759989,0.23714824,0.86650002,0.451866359
49,0.919120014,1.76007688,0.868399978,0.426779747
50,0.919260025,0.237042233,0.869899988,0.439147115
51,0.919860005,0.237781271,0.86650002,0.446173251
52,0.92049998,0.23532404,0.866100013,0.433728129
53,0.920239985,0.234711438,0.865999997,0.447906405
54,0.920019984,0.234505534,0.867799997,0.447127938
55,0.921559989,0.23208198,0.869300008,0.448960632
56,0.92335999,1.716279864,0.867900014,0.445502728
57,0.924120009,3.439239025,0.868300021,0.457701206
58,0.924279988,0.225359231,0.867600024,0.449236572
59,0.923780024,0.225394547,0.874300003,0.433474511
60,0.921800017,0.226536497,0.870700002,0.451664358
61,0.923200011,0.224743649,0.872500002,0.433446735
62,0.922860026,0.226252675,0.872900009,0.438317567
63,0.922900021,0.227201536,0.866400003,0.445477307
64,0.923799992,0.224657193,0.867699981,0.457690269
65,0.923979998,0.22514914,0.871500015,0.434799165
66,0.92343998,0.280422181,0.872099996,0.438848108
67,0.922540009,0.327422589,0.867999971,0.444006354
68,0.922540009,0.228047892,0.869099975,0.433788657
69,0.923219979,0.225819439,0.869199991,0.448759973
70,0.923820019,0.226306111,0.8671,0.456491202
71,0.923080027,0.226386726,0.870100021,0.449205846
72,0.923340023,0.224825472,0.869799972,0.446963757
73,0.922819972,2.469029427,0.868300021,0.445098639
74,0.924199998,0.223795921,0.867600024,0.446321338
75,0.923619986,0.225402385,0.872799993,0.432834774
76,0.924380004,0.223794237,0.868900001,0.454220951
77,0.923900008,0.239097536,0.873099983,0.436351269
78,0.922659993,2.395179749,0.872200012,0.438801527
79,0.923039973,0.225145638,0.870599985,0.453456849
80,0.923759997,0.806568623,0.865800023,0.442604303
81,0.923740029,0.375685483,0.867799997,0.45314008
82,0.923099995,0.224179655,0.871100008,0.438289344
83,0.922240019,0.225506529,0.872200012,0.439923525
84,0.923640013,0.223526821,0.868600011,0.450044423
85,0.924139977,0.225649431,0.867500007,0.436171919
86,0.922259986,2.844522715,0.866999984,0.441433698
87,0.922900021,0.22592783,0.867500007,0.455828905
88,0.92456001,0.222809643,0.870500028,0.441361129
89,0.922980011,0.224180818,0.872699976,0.438998252
90,0.925320029,0.223183364,0.869000018,0.449896723
91,0.923420012,0.524563015,0.868600011,0.436592251
92,0.923979998,0.223439857,0.869300008,0.449863672
93,0.923479974,0.289794832,0.866699994,0.456136912
94,0.921999991,0.22918345,0.869300008,0.453091711
95,0.923879981,0.324496686,0.870000005,0.445384562
96,0.924059987,0.558339834,0.867799997,0.444386721
97,0.924099982,0.222506255,0.866599977,0.446989983
98,0.92343998,0.22268936,0.873300016,0.433908999
0,0.9242799878120422,0.2226797640323639,0.8664000034332275,0.4429871141910553
