Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,0,0.0,6.334518909454346,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,1,0.1,4.6270060539245605,0.32
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,2,0.2,3.8536734580993652,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,3,0.30000000000000004,3.1196930408477783,0.43
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,4,0.4,3.0746188163757324,0.43
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,5,0.5,2.948629379272461,0.44
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,6,0.6000000000000001,3.1686758995056152,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,7,0.7000000000000001,3.53287410736084,0.28
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,8,0.8,4.2156782150268555,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,9,0.9,4.789518356323242,0.14
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Uniform,10,1.0,5.624664783477783,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Salt and Pepper,0,0.0,6.334518909454346,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Salt and Pepper,1,0.1,3.4091663360595703,0.43
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Salt and Pepper,2,0.2,4.767796039581299,0.19
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Salt and Pepper,3,0.30000000000000004,6.480919361114502,0.16
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Salt and Pepper,4,0.4,7.206817626953125,0.13
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Salt and Pepper,5,0.5,8.212311744689941,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,contours_inverted,Salt and Pepper,6,0.6000000000000001,8.249410629272461,0.13
