Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,0,0,8.479621887,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,1,0.1,6.620128632,0.27
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,2,0.2,5.907392502,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,3,0.3,4.898234367,0.36
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,4,0.4,4.6410923,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,5,0.5,3.974549294,0.39
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,6,0.6,3.910044193,0.41
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,7,0.7,3.538529634,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,8,0.8,3.733651161,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,9,0.9,3.939053535,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Uniform,10,1,4.154709816,0.19
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,0,0,8.479621887,0.21
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,1,0.1,4.902634144,0.38
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,2,0.2,3.924178839,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,3,0.3,4.537561417,0.24
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,4,0.4,5.019206047,0.18
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,5,0.5,6.054827213,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,6,0.6,6.619450092,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,7,0.7,7.59485817,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,8,0.8,7.995805264,0.07
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,9,0.9,8.998064995,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Salt and Pepper,10,1,56.41221619,0.09
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,0,100,9.66053009,0.27
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,1,63.09573445,8.856714249,0.27
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,2,39.81071706,8.424304962,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,3,25.11886432,6.949294567,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,4,15.84893192,5.677614212,0.23
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,5,10,4.890186787,0.22
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,6,6.309573445,4.467796803,0.2
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,7,3.981071706,4.95707655,0.19
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,8,2.511886432,4.611533642,0.17
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,9,1.584893192,4.144646168,0.15
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,High Pass,10,1,3.588545322,0.14
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Low Pass,0,1,7.294119358,0.22
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Low Pass,1,1.584893192,6.358885288,0.27
Gabor_VGG16,Gabor,VGG16,None,1,42,contours,Low Pass,2,2.511886432,5.050848007,0.34
