Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,0,0,7.054541111,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,1,0.1,5.57269907,0.46
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,2,0.2,4.779849052,0.44
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,3,0.3,4.26348877,0.42
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,4,0.4,3.026711464,0.46
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,5,0.5,3.167980909,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,6,0.6,4.194498539,0.3
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,7,0.7,3.929227352,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,8,0.8,4.287653923,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,9,0.9,4.619265556,0.2
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Uniform,10,1,5.327032089,0.16
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,0,0,7.054541111,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,1,0.1,15.65189171,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,2,0.2,6.479036331,0.22
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,3,0.3,6.564670563,0.19
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,4,0.4,7.4197402,0.16
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,5,0.5,8.011187553,0.13
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,6,0.6,8.340548515,0.13
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,7,0.7,9.360012054,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,8,0.8,9.209584236,0.09
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,9,0.9,10.40589809,0.07
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings_inverted,Salt and Pepper,10,1,56.41221619,0.09
