Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,0,0,1135.822144,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,1,0.1,854.8394775,0.44
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,2,0.2,1001.981506,0.43
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,3,0.3,376.6918335,0.41
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,4,0.4,212.7364807,0.39
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,5,0.5,22.06206512,0.38
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,6,0.6,222.1414642,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,7,0.7,4.513194561,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,8,0.8,4.860798836,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,9,0.9,4.184929371,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Uniform,10,1,4.708399773,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,0,0,1135.822144,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,1,0.1,252.2896271,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,2,0.2,7.462609768,0.3
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,3,0.3,5.006129265,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,4,0.4,5.576677322,0.23
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,5,0.5,6.256978989,0.18
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,6,0.6,7.443077564,0.13
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,7,0.7,7.651655674,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,8,0.8,8.192839622,0.08
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,9,0.9,9.372544289,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,Salt and Pepper,10,1,56.41221619,0.09
Gabor_VGG16,Gabor,VGG16,None,1,42,line_drawings,High Pass,0,100,70.25720978,0.46
