Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,0,0,23.63548851,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,1,0.1,21.36220169,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,2,0.2,21.011446,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,3,0.3,14.20935631,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,4,0.4,10.40870476,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,5,0.5,8.165204048,0.44
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,6,0.6,6.193557262,0.42
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,7,0.7,4.88631916,0.48
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,8,0.8,4.893497467,0.43
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,9,0.9,4.624015331,0.45
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Uniform,10,1,4.495476246,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,0,0,23.63548851,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,1,0.1,8.669114113,0.43
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,2,0.2,6.389897346,0.48
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,3,0.3,6.111209869,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,4,0.4,6.891611099,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,5,0.5,7.343187332,0.18
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,6,0.6,8.943807602,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,7,0.7,10.04273987,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,8,0.8,10.34192181,0.09
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,9,0.9,10.93253326,0.08
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Salt and Pepper,10,1,56.41221619,0.09
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,0,100,18.00070953,0.36
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,1,63.09573445,17.9147625,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,2,39.81071706,18.57455635,0.32
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,3,25.11886432,20.97375679,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,4,15.84893192,22.19758034,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,5,10,56.82520676,0.3
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,6,6.309573445,353.7626648,0.28
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,7,3.981071706,16.72787857,0.23
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,8,2.511886432,6.417892456,0.27
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,9,1.584893192,4.4200387,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,High Pass,10,1,3.419779062,0.15
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,0,1,16.22489738,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,1,1.584893192,11.29927635,0.33
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,2,2.511886432,6.631728649,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,3,3.981071706,265.9208374,0.38
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,4,6.309573445,54.64982605,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,5,10,3.06045866,0.14
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,6,15.84893192,3.055546284,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,7,25.11886432,3.214471817,0.11
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,8,39.81071706,3.786854744,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,9,63.09573445,5.875658989,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Low Pass,10,100,19.09068298,0.1
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Contrast,0,1,23.63548851,0.29
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Contrast,1,0.630957344,11.55998325,0.33
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Contrast,2,0.398107171,6.587897301,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Contrast,3,0.251188643,4.803222656,0.37
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Contrast,4,0.158489319,4.252618313,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Contrast,5,0.1,3.759678602,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Contrast,6,0.063095734,3.812435389,0.25
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes_inverted,Contrast,7,0.039810717,3.89993906,0.2
