Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,0,0,24.3975544,0.3
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,1,0.1,19.49160767,0.32
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,2,0.2,17.64442825,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,3,0.3,17.07024384,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,4,0.4,14.41251469,0.38
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,5,0.5,11.25841713,0.35
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,6,0.6,10.16859341,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,7,0.7,7.31203413,0.41
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,8,0.8,6.392572403,0.42
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,9,0.9,5.483504772,0.36
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Uniform,10,1,5.39770031,0.39
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,0,0,24.3975544,0.3
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,1,0.1,16.29940605,0.34
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,2,0.2,9.694838524,0.36
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,3,0.3,6.026381016,0.4
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,4,0.4,6.018028736,0.36
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,5,0.5,5.566855431,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,6,0.6,6.542201996,0.17
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,7,0.7,8.143279076,0.14
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,8,0.8,8.831694603,0.13
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,9,0.9,9.778665543,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Salt and Pepper,10,1,56.41221619,0.09
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,0,100,14.93155479,0.31
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,1,63.09573445,15.51021957,0.32
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,2,39.81071706,20.2296257,0.26
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,3,25.11886432,26.44178772,0.23
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,4,15.84893192,28.15630913,0.24
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,5,10,20.35873795,0.24
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,6,6.309573445,1005.3172,0.2
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,7,3.981071706,10.22431374,0.24
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,8,2.511886432,6.165273666,0.23
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,9,1.584893192,4.602231979,0.22
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,High Pass,10,1,3.62402916,0.12
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Low Pass,0,1,19.37911797,0.3
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Low Pass,1,1.584893192,15.28108025,0.3
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Low Pass,2,2.511886432,9.023309708,0.33
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Low Pass,3,3.981071706,1111.338623,0.39
Gabor_VGG16,Gabor,VGG16,None,1,42,silhouettes,Low Pass,4,6.309573445,863.0853271,0.27
